,employee_id,age,gender,marital_status,avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure
0,113558,43,Male,Married,111,D00-PR,0,0.753977,5,1,medium,0.921208,0,4
1,112256,24,Female,Unmarried,201,D00-MN,0,0.964453,3,0,medium,0.568479,0,3
2,112586,22,Female,Unmarried,239,D00-SS,0,0.756458,3,0,low,0.144812,0,6
3,108071,36,Male,Married,151,D00-PR,0,0.608282,5,0,medium,0.2103,0,6
4,116915,38,Male,Married,259,D00-IT,0,0.749206,4,0,medium,0.888514,0,3
5,104555,22,Male,Unmarried,180,D00-SP,0,0.772377,3,0,low,0.356638,0,6
6,104706,51,Male,Married,194,D00-SS,0,0.534309,5,0,high,0.969191,0,2
7,118536,54,Male,Married,269,D00-IT,0,0.843665,6,0,low,0.0847653,1,4
8,111712,43,Male,Married,192,D00-SP,0,0.750987,4,0,low,0.617988,0,2
9,119150,49,Male,Married,205,D00-SS,1,0.534207,4,0,low,0.129333,0,5
10,109162,37,Male,Married,218,D00-SP,0,0.930761,5,0,medium,0.80065,1,5
11,105251,27,Male,Unmarried,238,D00-ENG,0,0.687163,3,0,medium,0.820344,0,2
12,104544,43,Female,Married,165,D00-ENG,0,0.772913,4,0,high,1,0,3
13,102700,47,Male,Married,258,D00-SS,0,1,4,0,medium,0.529034,0,2
14,113732,28,Male,Unmarried,234,D00-SS,0,0.623682,3,0,medium,0.860094,0,3
15,108147,53,Male,Married,291,D00-PD,0,0.885668,6,0,low,0.157136,1,4
16,110690,28,Male,Unmarried,251,D00-IT,0,0.95028,4,0,low,0.578013,0,2
17,115701,24,Male,Unmarried,224,D00-SP,0,0.603898,3,0,medium,0.959622,0,2
18,108054,39,Male,Married,233,D00-SS,0,0.913237,5,0,low,0.891644,0,3
19,116648,43,Male,Married,218,D00-MT,0,0.7244835,4,0,medium,0.909005,0,3
20,102076,35,Female,Married,133,D00-SP,0,0.557253,4,0,low,0.559044,0,3
21,114178,42,Male,Married,245,D00-SS,0,0.690041,5,0,medium,0.876453,0,2
22,106163,22,Male,Unmarried,149,D00-MT,0,0.7244835,2,0,low,0.376832,1,3
23,102212,49,Male,Married,223,D00-PD,1,0.81196,5,0,medium,0.753583,1,5
24,109063,38,Male,Married,207,D00-IT,0,0.7244835,4,0,low,0.653898,0,2
25,115820,40,Female,Married,189,D00-ENG,0,0.7244835,4,0,low,0.202714,0,2
26,115751,23,Female,Unmarried,179,D00-SP,0,0.604449,3,0,medium,0.63486,0,3
27,100258,22,Male,Unmarried,258,D00-SS,0,0.611588,4,0,medium,0.5325,0,3
28,106928,27,Male,Unmarried,145,D00-ENG,0,0.346225,4,0,medium,0.628679,0,5
29,114114,45,Female,Married,262,D00-ENG,0,0.619149,5,0,medium,0.70503,0,2
30,100745,24,Female,Unmarried,183,D00-SS,0,0.96856,4,0,low,0.613921,0,2
31,106575,25,Male,Unmarried,159,D00-ENG,0,0.606688,3,0,medium,0.732237,0,3
32,106011,30,Male,Married,259,D00-SS,0,0.627583,5,0,low,0.762133,0,3
33,101543,47,Male,Married,265,D00-SP,0,0.591324,4,0,medium,0.553021,0,2
34,121359,25,Female,Unmarried,271,D00-ENG,0,0.946384,5,0,low,0.934184,1,5
35,118103,51,Female,Married,98,D00-SS,0,0.460061,4,0,medium,0.789979,0,4
36,105165,37,Male,Married,257,D00-ENG,0,0.864304,5,0,medium,0.776482,1,5
37,109291,51,Male,Married,246,D00-PD,1,0.7244835,4,0,low,0.950969,0,3
38,111129,22,Female,Unmarried,128,D00-ENG,0,0.500299,2,0,medium,0.471927,1,3
39,110538,24,Female,Unmarried,148,D00-MT,0,0.587,2,0,high,0.487714,1,3
40,110339,23,Female,Unmarried,158,D00-ENG,1,0.641864,4,0,low,0.150043,1,4
41,114826,23,Female,Unmarried,153,D00-SS,1,0.496785,2,0,low,0.367253,1,3
42,135194,34,Female,Married,274,D00-SS,0,0.906298,4,0,medium,0.81923,0,3
43,105415,26,Male,Unmarried,120,D00-SS,0,0.494432,3,0,medium,0.458711,0,6
44,113801,44,Male,Married,221,D00-SS,0,0.748904,4,0,medium,0.250428,0,5
45,107371,25,Female,Unmarried,189,D00-SS,0,0.901136,3,0,low,0.977323,0,3
46,100883,40,Female,Married,195,D00-SS,1,0.816122,5,0,low,0.945427,0,4
47,101222,36,Male,Married,274,D00-ENG,0,0.9216,4,0,low,0.923817,1,6
48,109202,24,Female,Unmarried,160,D00-SP,0,0.617626,2,0,low,0.647948,0,4
49,102247,52,Male,Married,232,D00-AD,1,0.432481,4,0,medium,0.122095,0,3
50,101499,31,Female,Married,265,D00-PD,1,0.899672,4,0,medium,1,0,4
51,100868,24,Female,Unmarried,212,D00-MN,0,0.89068,2,0,high,0.453724,0,2
52,118910,27,Male,Unmarried,214,D00-IT,0,0.667349,3,0,medium,0.564529,0,2
53,104951,22,Male,Unmarried,269,D00-SS,0,1,4,0,low,0.526995,0,3
54,109819,32,Male,Married,256,D00-SP,0,0.911943,5,0,low,0.779851,1,5
55,113517,51,Female,Married,184,D00-MT,1,0.908445,4,0,medium,0.560242,0,2
56,117096,25,Male,Unmarried,128,D00-FN,0,0.7244835,2,0,low,0.425254,1,3
57,110888,42,Male,Married,152,D00-PR,0,0.673508,6,0,medium,0.720369,0,3
58,109783,43,Male,Married,192,D00-SS,0,0.652254,4,0,medium,0.696913,0,3
59,113744,39,Female,Married,159,D00-SP,0,0.7244835,4,0,low,0.838085,0,3
60,117014,33,Male,Married,232,D00-ENG,0,0.973183,5,0,medium,0.921918,1,5
61,101644,25,Male,Unmarried,208,D00-IT,1,0.81669,4,0,low,0.834379,0,3
62,107763,51,Male,Married,186,D00-SP,1,0.848844,4,0,low,0.643544,0,3
